weekday,weekday_name,station_id,station_name,network_name,state_code,PM2.5,PM10,O3,NO2,NOx,CO
0.0,Lunes,32,Secretaría de Medio Ambiente,Aguascalientes,0.0,111.33446321757216,92.39572914912988,1.0725513447797395,1.2703321281201347,1.6625661010816857,1.0525550976811593
0.0,Lunes,33,Centro,Aguascalientes,1.0,62.59839048712967,69.87964608504353,3.710930247900633,5.31708303906717,7.825128800421303,1.353177955432224
0.0,Lunes,53,SUR,Chihuahua,8.0,23.77737982601493,52.92956134015593,0.029388058926146956,0.011904435668796462,0.018418275958220813,0.9776237513199307
0.0,Lunes,56,CONALEP,Torreón,5.0,19.08388610725566,56.97985513069874,0.020206736261328833,0.007100789835327879,0.026462191250977343,25.03546319517853
0.0,Lunes,59,IPN,Durango,10.0,21.126025329608417,67.9999046604938,0.3878777980134296,0.01738778711050425,0.03169990415267569,2.020667503973977
0.0,Lunes,60,SRNyMA,Durango,10.0,30.120379297605236,32.46108625826708,0.015516291606636218,0.010538452311598412,0.06462148142733128,2.0002271592915584
0.0,Lunes,68,Policía,Celaya,0.0,17.14615572886108,66.25899193535285,0.02797915170502742,0.014418348436959435,0.02114053864729215,1.12770174810383
0.0,Lunes,70,San Juanico,Celaya,0.0,26.046167582362976,77.71156821842708,0.029133664767216263,0.01402279936536065,0.029446349814746333,1.322989590108717
0.0,Lunes,72,Bomberos,Irapuato,0.0,18.32685823857136,52.96527557864717,0.02978544093717708,0.013129496300970342,0.03068588556885611,1.4360783856524457
0.0,Lunes,73,Teódula,Irapuato,0.0,20.718071733440517,54.226463645839345,0.03295554698337722,0.013319425047666218,0.027724018205899266,1.006480766062442
0.0,Lunes,74,CICEG - Bomberos,León,0.0,28.157952842468358,61.98532061903203,0.02569864397409256,0.01813906788673946,0.031674631857760434,1.1863516972473651
0.0,Lunes,75,Facultad de Medicina,León,0.0,18.708719413249753,51.63592817065257,0.027308687263748292,0.020034413676815754,0.038194757494426836,0.7612922871603364
0.0,Lunes,77,Cruz roja,Salamanca,0.0,21.55547599848033,46.41148747705582,0.023916703190414813,0.015916777402280036,0.025362735904660084,1.258079705701681
0.0,Lunes,78,DIF,Salamanca,0.0,21.440398219473213,51.100545632349316,0.026321042816484168,0.013887319709629888,0.026866598177117288,0.8717088520582198
0.0,Lunes,82,Centro de Salud,Atitalaquia,13.0,20.21680842712823,68.06525545283463,0.02059803822731996,0.013997774019852178,0.05337889601421194,0.8948916763385296
0.0,Lunes,84,Estación de Bomberos de Cd. Sahagún,Tepeapulco,13.0,106.7806008278862,174.07425590600528,0.027959760117784883,0.007888454168382629,0.017101379031929122,0.6108215228640578
0.0,Lunes,85,Hospital,Huichapan,13.0,82.82767144554906,87.13174590323419,0.030400323286182168,0.008500637013890143,0.01465748546237429,0.43041406281452205
0.0,Lunes,87,Primaria Melchor Ocampo,Tepeji,0.0,19.505471121622133,36.992707596273064,0.021568228657674,0.01298227727498688,0.02540987025755419,0.6959071536928262
0.0,Lunes,92,Jardín del Maestro,Pachuca,13.0,20.95547432155299,20.73919003855679,0.03237274660976785,0.010465715424497486,0.021248276410571566,1.043647004526428
0.0,Lunes,93,Museo del Rehilete,Pachuca,13.0,16.921908755419985,31.93860420459683,0.028834713854646837,0.010122219791063314,0.016805690841545425,0.4536307132551659
0.0,Lunes,102,Centro,Guadalajara,0.0,26.23473119381932,36.99619336116178,0.025848099988921226,0.02105258130123219,0.03163336681208512,0.7336475479729194
0.0,Lunes,103,Las Águilas,Guadalajara,0.0,26.845912783685762,30.50854722546289,0.027651499184894332,0.024112284023152027,0.03467330252010466,0.8678762040988879
0.0,Lunes,106,Miravalle,Guadalajara,0.0,31.419300904766903,61.08013492395504,0.024631178103454155,0.023575112436970126,0.037047220108053405,0.9473535754542779
0.0,Lunes,109,Tlaquepaque,Guadalajara,0.0,29.059392094377543,45.600617600799296,0.026006228187950294,0.0221736171279529,0.03716318273652475,1.12073358036606
0.0,Lunes,123,Ceboruco,Toluca,0.0,28.893131413718606,57.26854833376573,0.029378808271695256,0.024356624474559208,0.04401040149781565,1.0245587425071168
0.0,Lunes,125,Metepec,Toluca,0.0,30.4708123587563,53.561125758756724,0.028821879820732484,0.023613423435248335,0.039972461206110484,0.8808116292918937
0.0,Lunes,126,Oxtotitlán,Toluca,0.0,30.09142283208286,54.25116832709996,0.027354706655268186,0.023327243542392084,0.04248406450997947,0.9710196735540191
0.0,Lunes,128,San Mateo Atenco,Toluca,0.0,36.58106382572202,61.79799040775566,0.026097338418106113,0.027844204327680956,0.06508892535952499,0.9295225775543331
0.0,Lunes,129,Universidad Michoacana de San Nicolás Hidalgo,Morelia,0.0,22.36199189095928,38.162227555384085,1.7146310848585706,0.8380148742817813,1.2116172189127647,2.9393296769929673
0.0,Lunes,134,Cuernavaca 01,Cuernavaca,17.0,34.86342574058963,39.22990073221614,0.028455436373699055,0.01547136639396251,0.04397372740952377,0.6780478472861725
0.0,Lunes,136,Tecnológico de Tepic,Tepic,18.0,41.54099963756175,61.233744268949145,0.023686869683092464,0.007529648075821634,0.021361853445774587,0.5569400205643631
0.0,Lunes,137,Primaria Julián Gascón Mercado,Tepic,0.0,12.793214912326077,36.75009415492152,0.021081584643272738,0.010803571102817435,0.020797933113721884,0.6199457972213848
0.0,Lunes,139,Santa Catarina,Monterrey,19.0,25.88643579276143,75.82195971485838,0.023113701845960614,0.015682701585479287,0.027711690665308084,1.1527493155356159
